Rainfall - (MM), Year, Month, Country, ISO3
235.345,1998, Oct, Colombia, COL
247.246,1998, Nov, Colombia, COL
196.411,1998, Dec, Colombia, COL
185.008,1999, Jan, Colombia, COL
229.254,1999, Feb, Colombia, COL
161.955,1999, Mar, Colombia, COL
292.61,1999, Apr, Colombia, COL
264.873,1999, May, Colombia, COL
307.834,1999, Jun, Colombia, COL
240.604,1999, Jul, Colombia, COL
241.729,1999, Aug, Colombia, COL
399.005,1999, Sep, Colombia, COL
306.334,1999, Oct, Colombia, COL
219.094,1999, Nov, Colombia, COL
187.591,1999, Dec, Colombia, COL
120.363,2000, Jan, Colombia, COL
210.222,2000, Feb, Colombia, COL
230.74,2000, Mar, Colombia, COL
172.1,2000, Apr, Colombia, COL
365.82,2000, May, Colombia, COL
272.907,2000, Jun, Colombia, COL
297.086,2000, Jul, Colombia, COL
255.695,2000, Aug, Colombia, COL
304.809,2000, Sep, Colombia, COL
176.835,2000, Oct, Colombia, COL
179.384,2000, Nov, Colombia, COL
138.12,2000, Dec, Colombia, COL
106.163,2001, Jan, Colombia, COL
76.7547,2001, Feb, Colombia, COL
188.844,2001, Mar, Colombia, COL
208.895,2001, Apr, Colombia, COL
275.035,2001, May, Colombia, COL
245.991,2001, Jun, Colombia, COL
279.418,2001, Jul, Colombia, COL
165.71,2001, Aug, Colombia, COL
229.233,2001, Sep, Colombia, COL
268.325,2001, Oct, Colombia, COL
184.705,2001, Nov, Colombia, COL
213.578,2001, Dec, Colombia, COL
65.4767,2002, Jan, Colombia, COL
76.123,2002, Feb, Colombia, COL
233.814,2002, Mar, Colombia, COL
289.947,2002, Apr, Colombia, COL
384.246,2002, May, Colombia, COL
423.317,2002, Jun, Colombia, COL
324.055,2002, Jul, Colombia, COL
214.976,2002, Aug, Colombia, COL
229.595,2002, Sep, Colombia, COL
240.182,2002, Oct, Colombia, COL
218.469,2002, Nov, Colombia, COL
166.91,2002, Dec, Colombia, COL
66.7683,2003, Jan, Colombia, COL
101.017,2003, Feb, Colombia, COL
180.055,2003, Mar, Colombia, COL
271.718,2003, Apr, Colombia, COL
258.169,2003, May, Colombia, COL
470.113,2003, Jun, Colombia, COL
240.464,2003, Jul, Colombia, COL
239.774,2003, Aug, Colombia, COL
238.737,2003, Sep, Colombia, COL
255.195,2003, Oct, Colombia, COL
329.392,2003, Nov, Colombia, COL
157.808,2003, Dec, Colombia, COL
96.4524,2004, Jan, Colombia, COL
143.02,2004, Feb, Colombia, COL
146.479,2004, Mar, Colombia, COL
293.301,2004, Apr, Colombia, COL
373.935,2004, May, Colombia, COL
206.215,2004, Jun, Colombia, COL
333.434,2004, Jul, Colombia, COL
243.497,2004, Aug, Colombia, COL
258.164,2004, Sep, Colombia, COL
285.464,2004, Oct, Colombia, COL
253.362,2004, Nov, Colombia, COL
169.939,2004, Dec, Colombia, COL
121.053,2005, Jan, Colombia, COL
157.753,2005, Feb, Colombia, COL
169.644,2005, Mar, Colombia, COL
214.415,2005, Apr, Colombia, COL
370.486,2005, May, Colombia, COL
282.262,2005, Jun, Colombia, COL
229.923,2005, Jul, Colombia, COL
277.662,2005, Aug, Colombia, COL
212.997,2005, Sep, Colombia, COL
319.245,2005, Oct, Colombia, COL
254.187,2005, Nov, Colombia, COL
211.627,2005, Dec, Colombia, COL
193.018,2006, Jan, Colombia, COL
103.827,2006, Feb, Colombia, COL
291.473,2006, Mar, Colombia, COL
272.4,2006, Apr, Colombia, COL
389.525,2006, May, Colombia, COL
323.13,2006, Jun, Colombia, COL
323.366,2006, Jul, Colombia, COL
