,Date,Target,ICO_stationary,rain_stationary,Bond_stationary,Tea_stationary,Starbucks_stationary
13,1993-07-01,14.996428571428574,4.607499999999995,79.83100000000002,-0.15748917748917535,0.07169192845611683,-0.012101555846559586
14,1993-08-01,14.738636363636367,3.0024999999999977,-63.12500000000003,-0.1275108225108239,-0.051624365405308126,-0.09423526292721851
15,1993-09-01,14.742857142857144,-0.41499999999999204,43.72900000000001,-0.3177272727272733,-0.0405460943943492,0.0955498684960607
16,1993-10-01,15.040476190476193,-7.170000000000002,36.24300000000004,-0.03152380952380884,0.06021885999305443,0.021023044642930977
17,1993-11-01,14.102380952380955,-0.10500000000000398,7.814000000000064,0.36876190476190285,-0.05334598070529317,-0.15045134563616638
18,1993-12-01,13.796590909090913,0.5174999999999983,-104.1990000000001,0.04130735930736229,0.03367321510658794,-0.0024977476808108467
19,1994-01-01,13.564285714285717,-1.7125000000000057,18.125999999999976,-0.034116883116884544,-0.0066445427186678785,0.0915825559512291
20,1994-02-01,13.171052631578954,2.052499999999995,4.690000000000026,0.24488721804511204,0.07076907088820672,-0.0013244795276894372
21,1994-03-01,13.65,2.2199999999999847,7.727000000000004,0.5204233409610985,0.030583423372079643,0.020513059406682632
22,1994-04-01,14.081578947368426,2.657499999999999,-53.412000000000006,0.48547139588100663,-0.04939275532957588,0.07753791629511075
23,1994-05-01,13.028571428571432,17.417500000000004,7.063999999999993,0.2175513784461165,-0.025642430613337375,-0.03817418477197976
24,1994-06-01,12.874999999999998,5.60499999999999,73.66300000000001,-0.08830735930736111,0.019293202934679066,-0.03664513290211245
25,1994-07-01,12.744999999999996,34.69750000000002,-80.38600000000002,0.19319545454545395,0.08541775115435168,-0.09451160061051733
26,1994-08-01,12.86521739130434,-34.995000000000005,23.727000000000032,-0.0556934782608689,-0.029675768146117498,0.11288681086431464
27,1994-09-01,12.74642857142857,-2.6325000000000216,-17.15300000000002,0.2198530020703906,-0.055741983008234186,-0.132372555598623
28,1994-10-01,12.847619047619045,-31.182500000000005,121.00799999999998,0.27861904761905176,0.018928009885518904,0.026654591355767643
29,1994-11-01,12.633333333333333,-11.689999999999998,-102.62500000000006,0.21971428571428486,-0.09156719352549114,0.18111599981313664
30,1994-12-01,12.351190476190474,-10.882500000000022,-11.580999999999932,-0.1386666666666656,-0.04913268857764397,-0.17365259210626285
31,1995-01-01,12.0139880952381,15.517500000000013,-11.138999999999996,-0.04023809523809874,-0.007220247973487304,-0.013756107325954697
32,1995-02-01,12.042105263157893,8.509999999999991,-30.355500000000006,-0.3040802005012493,-0.01459879942115272,0.07106374479720518
33,1995-03-01,12.479347826086958,11.837499999999977,36.54050000000001,-0.2649839816933657,-0.014815085785140347,-0.03703366236420863
34,1995-04-01,12.213157894736838,-5.752499999999998,94.23699999999997,-0.14822654462242468,0.007434978487517618,0.044889295239276455
35,1995-05-01,12.259090909090904,-4.599999999999994,-60.56999999999999,-0.4257200956937792,-0.037740327982846544,0.12791638384378362
36,1995-06-01,12.310227272727275,-11.655000000000001,105.273,-0.4678636363636359,-0.007722046093910251,0.041757472792439077
37,1995-07-01,12.207499999999996,-1.4449999999999932,-62.446999999999974,0.11208636363636071,-0.007782140442055052,-0.07615713182248396
38,1995-08-01,12.318478260869567,13.462500000000006,23.63300000000001,0.21585434782608992,-0.031748698314580714,-0.08275019941335907
39,1995-09-01,12.61,-9.139999999999972,-78.56500000000003,-0.29330434782608883,0.054915757596115,0.0489665023127778
40,1995-10-01,12.913636363636362,0.6699999999999875,-50.26999999999998,-0.15600000000000058,-0.03101023674256087,-0.19870743669471433
41,1995-11-01,13.249999999999995,1.6500000000000057,0.43199999999998795,-0.11333333333333062,-0.02390552085355413,0.24597715395476116
42,1995-12-01,13.970624999999998,-7.887499999999989,130.662,-0.21746666666666847,0.02390552085355413,-0.10663383822595432
43,1996-01-01,13.681818181818175,6.867500000000007,-58.05599999999998,-0.0605636363636366,0.07579383936953388,-0.23998671295310914
44,1996-02-01,14.005,12.549999999999997,104.34150000000001,0.15551363636363646,-0.022141125877213064,0.2179968593573266
45,1996-03-01,13.508928571428573,-1.5849999999999937,-92.91750000000002,0.46256428571428465,0.022141125877213064,0.23593044790291096
46,1996-04-01,13.33392857142857,-0.6800000000000068,-87.10499999999996,0.23709523809524136,0.03584613177313578,-0.022903271297130767
47,1996-05-01,13.759090909090908,0.6724999999999994,153.161,0.23250865800865572,0.007017572658646998,-0.14408828769044518
48,1996-06-01,13.87625,-3.2724999999999937,-122.04399999999998,0.17378181818182092,-0.0212022076506031,-0.10160804064289275
49,1996-07-01,13.913636363636368,-4.340000000000018,4.774999999999977,-0.04705454545454746,-0.02166149678117968,0.011629705438695126
50,1996-08-01,14.03352272727273,3.8500000000000085,8.837999999999965,-0.22963636363636475,0.049832373747875636,0.1611845051454519
51,1996-09-01,15.160000000000002,-2.780000000000001,-23.61299999999997,0.18924090909090996,0.0069204428445743815,0.0034240351710871364
52,1996-10-01,15.113043478260868,3.847500000000011,71.19899999999998,-0.2901282608695661,0.027212563524884104,-0.061984103659394996
53,1996-11-01,14.974999999999996,-0.7124999999999915,-14.557999999999993,-0.3331217391304344,0.006688988150797215,-0.13681802492156492
54,1996-12-01,14.905952380952375,-3.927499999999995,-51.30499999999995,0.09274285714285746,0.0066445427186678785,-0.0016628439174229959
55,1997-01-01,14.977272727272727,9.112499999999983,83.4459999999999,0.2730389610389601,0.0389659685333843,0.04332671238930452
56,1997-02-01,15.094078947368422,16.027500000000003,-95.43899999999998,-0.1549712918660271,0.025158559636154543,0.1283281773151831
